x, y
-17.381820678710938, -34.5614013671875
-7.579730033874512, -28.943431854248047
-9.752640724182129, -25.005090713500977
-28.081348419189453, -40.05792236328125
-6.128316879272461, -23.822265625
-7.135738372802734, -25.146682739257812
-13.051238059997559, -29.833873748779297
-11.43130874633789, -29.37986183166504
-6.791443824768066, -25.961442947387695
-7.0215373039245605, -25.194705963134766
-13.791436195373535, -37.24666976928711
-11.00383186340332, -28.008886337280273
-7.110533714294434, -25.017744064331055
-16.124536514282227, -24.232995986938477
-24.76813507080078, -46.2785758972168
-8.354315757751465, -23.55875015258789
-4.875059604644775, -25.41996955871582
-9.834186553955078, -27.313758850097656
-6.445272922515869, -15.832852363586426
-8.698293685913086, -25.511680603027344
-10.503230094909668, -27.017398834228516
-7.752983570098877, -29.096508026123047
-8.923547744750977, -33.0042724609375
-8.555472373962402, -23.46199607849121
-8.666520118713379, -23.65801239013672
-22.939666748046875, -30.59807586669922
-7.6876606941223145, -28.837148666381836
-9.758369445800781, -20.948122024536133
-8.242159843444824, -20.810937881469727
-10.63144302368164, -39.67412185668945
-12.069944381713867, -29.551986694335938
-20.648923873901367, -40.186126708984375
-17.2172794342041, -30.375308990478516
-5.531608581542969, -23.53983497619629
-12.432010650634766, -23.063121795654297
-11.036967277526855, -30.769203186035156
-10.826823234558105, -29.654815673828125
-14.176109313964844, -34.563697814941406
-14.700560569763184, -34.89536666870117
-6.920825004577637, -18.123260498046875
-7.4333882331848145, -19.050710678100586
-7.767274856567383, -19.29220962524414
-12.24049186706543, -34.64622116088867
-3.4755632877349854, -29.2514591217041
-3.971726417541504, -17.930179595947266
-7.916748046875, -28.894899368286133
-8.614952087402344, -28.892358779907227
-7.984526634216309, -24.539657592773438
-6.408212184906006, -25.345314025878906
-9.525890350341797, -34.9499626159668
-10.709976196289062, -30.168121337890625
-18.101383209228516, -35.1914176940918
-12.13212776184082, -27.515018463134766
-14.20088005065918, -23.5882568359375
-15.073526382446289, -34.885498046875
-7.644903182983398, -29.466062545776367
-7.797543048858643, -29.59925079345703
-11.17609977722168, -29.51722526550293
-19.21912384033203, -25.782062530517578
-11.549848556518555, -31.569120407104492
-7.586918830871582, -29.067012786865234
-8.491786003112793, -23.59001922607422
-10.852397918701172, -30.273651123046875
-29.506977081298828, -50.47323989868164
-20.29471206665039, -40.32707977294922
-7.875693321228027, -28.51095199584961
-11.817655563354492, -21.38792610168457
-5.545039653778076, -8.760457992553711
-17.988285064697266, -30.980220794677734
-9.494084358215332, -24.091283798217773
-23.861507415771484, -27.99616241455078
-21.01866340637207, -29.334131240844727
-13.001446723937988, -28.004226684570312
-7.048076152801514, -25.678604125976562
-16.248205184936523, -24.314281463623047
-8.941858291625977, -24.80177879333496
-10.560442924499512, -30.058242797851562
-13.627104759216309, -27.357786178588867
-27.175432205200195, -43.9788703918457
-11.800005912780762, -26.375410079956055
-5.007058143615723, -24.076091766357422
-18.372100830078125, -37.194149017333984
-19.02768898010254, -26.239980697631836
-15.065010070800781, -35.84074401855469
-5.325011253356934, -41.5685920715332
-13.637889862060547, -29.831890106201172
-8.749533653259277, -26.14225959777832
-18.041933059692383, -32.92512893676758
-13.053505897521973, -32.27846145629883
