x, y
-1.6783052682876587, -1.8962137699127197
-8.439617156982422, -8.75821304321289
-13.687841415405273, -12.64124870300293
-13.236993789672852, -12.750649452209473
-4.052634239196777, -4.090460300445557
-12.095300674438477, -12.913448333740234
-16.813980102539062, -16.45518684387207
-12.519673347473145, -12.436497688293457
-6.076820373535156, -6.2224602699279785
-7.468142986297607, -7.468883037567139
-12.498529434204102, -12.126993179321289
-2.258223056793213, -2.06597638130188
-12.842225074768066, -12.464462280273438
-9.934249877929688, -8.721161842346191
-17.08123779296875, -16.46813201904297
-4.300313472747803, -4.4769721031188965
-12.46194839477539, -13.04364013671875
-2.987215757369995, -3.6553006172180176
-11.224564552307129, -11.245169639587402
-1.16378915309906, -1.3947899341583252
-9.521612167358398, -10.085646629333496
-7.028247356414795, -11.294144630432129
-6.700874328613281, -6.174288749694824
-8.971657752990723, -8.411206245422363
-11.251914978027344, -12.113563537597656
-7.713916301727295, -7.697181701660156
-3.8916773796081543, -3.1026360988616943
-12.496423721313477, -12.683364868164062
-8.656840324401855, -9.507457733154297
-4.709476947784424, -3.575690269470215
-0.6329753398895264, -0.6083172559738159
-5.1440205574035645, -5.408536434173584
-14.73137092590332, -13.615492820739746
-7.724823951721191, -7.526755332946777
-13.084741592407227, -12.538824081420898
-3.8205084800720215, -3.2715048789978027
-19.567768096923828, -19.268375396728516
-10.175021171569824, -9.854240417480469
-2.825192451477051, -3.6294894218444824
-0.7413363456726074, -0.45987460017204285
-9.070281028747559, -9.258981704711914
-6.9118804931640625, -6.201302528381348
-17.151762008666992, -18.647092819213867
-12.191370010375977, -12.413561820983887
-7.641743183135986, -6.5083818435668945
-8.182894706726074, -6.91632080078125
-13.119887351989746, -13.294816017150879
-7.740492343902588, -8.174673080444336
-10.241655349731445, -9.62863540649414
-9.325772285461426, -7.586066246032715
-7.269564628601074, -6.452111721038818
-6.421899318695068, -5.900928974151611
-7.284058570861816, -6.247704982757568
-11.422029495239258, -9.367597579956055
-11.678174018859863, -10.762059211730957
-8.693989753723145, -8.839743614196777
-3.867875576019287, -3.723461627960205
-12.557540893554688, -12.604180335998535
-11.628371238708496, -9.735926628112793
-5.899432182312012, -5.799951553344727
-16.231849670410156, -15.576143264770508
-16.887508392333984, -18.169105529785156
-0.19222521781921387, -0.1705387532711029
-20.027698516845703, -20.220008850097656
-8.545265197753906, -7.49009895324707
-8.084261894226074, -7.807050704956055
-7.901221752166748, -7.735412120819092
-12.236985206604004, -11.960247039794922
-9.255276679992676, -9.227851867675781
-10.515480995178223, -10.166691780090332
-12.736234664916992, -11.309865951538086
-10.175790786743164, -9.45642375946045
-14.38708209991455, -15.069329261779785
-10.96095085144043, -9.571317672729492
-8.207039833068848, -8.824673652648926
-30.8442440032959, -30.23657989501953
-13.479778289794922, -12.710580825805664
-8.920185089111328, -6.992969512939453
-1.614562749862671, -1.412006139755249
-10.887707710266113, -9.115188598632812
-11.35797119140625, -10.748895645141602
-15.054970741271973, -18.5044002532959
-9.700390815734863, -8.58516788482666
-2.168642520904541, -1.225984811782837
-6.534003734588623, -5.64578914642334
-8.47509479522705, -8.30228042602539
-9.472960472106934, -10.233354568481445
-2.6143991947174072, -2.4073870182037354
-11.34758186340332, -11.24017333984375
-7.897149085998535, -7.378190040588379
-3.0706400871276855, -2.473478078842163
-9.908483505249023, -9.323871612548828
-5.772216320037842, -5.826526165008545
-15.875520706176758, -14.173335075378418
-7.89026403427124, -7.295305252075195
-13.018267631530762, -10.57728385925293
-15.024879455566406, -14.834667205810547
-7.795842170715332, -6.669977188110352
-9.49537181854248, -9.819131851196289
-8.712873458862305, -9.107105255126953
-8.525727272033691, -7.47474479675293
-13.314613342285156, -11.395716667175293
-1.4433929920196533, -1.4999836683273315
-8.403572082519531, -7.984724521636963
-0.41544681787490845, -0.4427124559879303
-5.1804375648498535, -4.376649379730225
-9.513228416442871, -9.556665420532227
-7.63062047958374, -7.74098014831543
-14.477746963500977, -13.224853515625
-14.594501495361328, -13.898365020751953
-1.4843710660934448, -1.4823158979415894
-9.675646781921387, -8.677824974060059
-0.4466765224933624, -0.3516605794429779
-14.899291038513184, -12.78018569946289
-1.7861268520355225, -1.9668140411376953
-0.47550708055496216, -0.32008910179138184
-5.759768962860107, -5.300724029541016
-7.287181854248047, -6.258763313293457
-5.217996120452881, -5.499985694885254
-10.440740585327148, -10.885957717895508
-11.031672477722168, -11.789717674255371
-8.791595458984375, -7.885799407958984
-2.212207794189453, -1.9301786422729492
-6.971968173980713, -6.278590202331543
-8.732791900634766, -6.2972869873046875
-9.379996299743652, -7.987873077392578
-11.175570487976074, -11.212654113769531
-10.937745094299316, -12.33983039855957
-4.629049301147461, -5.046279430389404
-14.905519485473633, -15.404451370239258
-7.284635066986084, -6.256329536437988
-12.450803756713867, -12.593557357788086
-12.359014511108398, -13.403221130371094
-6.13378381729126, -5.09053897857666
-6.428725242614746, -7.293960094451904
-10.097355842590332, -9.710951805114746
-2.8200132846832275, -2.4169464111328125
-6.932910919189453, -5.134672164916992
-3.57905912399292, -3.978092670440674
-7.566980361938477, -6.253959655761719
-3.2579689025878906, -2.9769492149353027
-7.941330909729004, -6.978269100189209
-9.852168083190918, -7.579398155212402
-9.133234024047852, -9.174917221069336
-4.706329345703125, -4.6547770500183105
-3.5043725967407227, -1.621300220489502
-12.732166290283203, -11.327251434326172
-5.713781356811523, -5.647604942321777
-5.7344651222229, -5.59550666809082
-9.354068756103516, -8.094968795776367
-5.300738334655762, -5.375375747680664
-11.312490463256836, -8.589676856994629
-8.667791366577148, -9.649434089660645
-9.396512031555176, -9.649791717529297
-11.927154541015625, -12.046298027038574
-11.145500183105469, -12.275959968566895
-5.189464569091797, -7.65234899520874
-7.899019718170166, -9.442427635192871
-8.174262046813965, -6.886167526245117
-14.346951484680176, -14.892232894897461
-8.783405303955078, -8.782402038574219
-6.402005195617676, -6.210696220397949
-16.888660430908203, -13.673025131225586
-14.256827354431152, -14.701166152954102
-9.105396270751953, -8.402982711791992
-9.893787384033203, -10.46495532989502
-2.120413064956665, -1.2774436473846436
-8.411811828613281, -9.087604522705078
-7.050751686096191, -7.327564239501953
-3.309802293777466, -3.2596330642700195
-10.864243507385254, -10.566435813903809
-8.577920913696289, -10.573772430419922
-10.568526268005371, -11.644424438476562
-4.980065822601318, -5.037074565887451
-4.362207412719727, -4.726199150085449
-4.415722370147705, -3.3223094940185547
-9.013916969299316, -9.92961311340332
-19.189659118652344, -19.179105758666992
-18.17840576171875, -17.425601959228516
-9.13540267944336, -9.337179183959961
-10.493301391601562, -10.513833045959473
-7.812084674835205, -7.565549850463867
-5.052525520324707, -4.691714763641357
-5.344733715057373, -4.468766212463379
-7.236282825469971, -6.60573673248291
-3.283834457397461, -3.1549911499023438
-4.019044876098633, -3.4473652839660645
-6.969674110412598, -5.491179466247559
-8.025802612304688, -7.543552875518799
-3.574436664581299, -3.164478302001953
-9.808517456054688, -8.97427749633789
-14.60941219329834, -14.567870140075684
-8.376955032348633, -8.727723121643066
-12.465118408203125, -11.263750076293945
-10.643388748168945, -11.292608261108398
-6.724656105041504, -7.268347263336182
-6.571362495422363, -7.321023941040039
-7.953777313232422, -7.693319320678711
-12.924180030822754, -11.837505340576172
