no_constraint, constraint, which
-0.05557338893413544, -0.05389015004038811, unconstrained
-0.0555468387901783, -0.053774312138557434, unconstrained
-0.05565416440367699, -0.05382773280143738, unconstrained
-0.055739399045705795, -0.05392512306571007, unconstrained
-0.05562181770801544, -0.05380517989397049, unconstrained
-0.055630963295698166, -0.05399472266435623, unconstrained
-0.055534861981868744, -0.05380481854081154, unconstrained
-0.05566799268126488, -0.05388099327683449, unconstrained
-0.05551113188266754, -0.0539269782602787, unconstrained
-0.0556030347943306, -0.053827233612537384, unconstrained
-0.055750198662281036, -0.0538831502199173, unconstrained
-0.055785421282052994, -0.05390658974647522, unconstrained
-0.055730003863573074, -0.05389068275690079, unconstrained
-0.055701304227113724, -0.05390424281358719, unconstrained
-0.0555553212761879, -0.053750719875097275, unconstrained
-0.055667683482170105, -0.05382952466607094, unconstrained
-0.05570441484451294, -0.053861215710639954, unconstrained
-0.055665645748376846, -0.05382521450519562, unconstrained
-0.0557335801422596, -0.05399239435791969, unconstrained
-0.0556337870657444, -0.05379932373762131, unconstrained
-0.05557781085371971, -0.0538703091442585, unconstrained
-0.0556480810046196, -0.053859107196331024, unconstrained
-0.05563916265964508, -0.05394468456506729, unconstrained
-0.055606987327337265, -0.05390676110982895, unconstrained
-0.0556674562394619, -0.053850021213293076, unconstrained
-0.055635519325733185, -0.05387153849005699, unconstrained
-0.055679284036159515, -0.05393326282501221, unconstrained
-0.055537205189466476, -0.05388697609305382, unconstrained
-0.055696751922369, -0.05388668179512024, unconstrained
-0.05566767230629921, -0.05381402745842934, unconstrained
-0.055626653134822845, -0.053973615169525146, unconstrained
-0.055566929280757904, -0.053931865841150284, unconstrained
-0.05565201863646507, -0.05389989912509918, unconstrained
-0.05565894767642021, -0.05387873202562332, unconstrained
-0.05561261996626854, -0.05387364700436592, unconstrained
-0.05567556247115135, -0.0538456104695797, unconstrained
-0.05557996407151222, -0.05400428548455238, unconstrained
-0.055605750530958176, -0.05381833389401436, unconstrained
-0.0556349903345108, -0.0538826659321785, unconstrained
-0.05565667152404785, -0.053804412484169006, unconstrained
-0.055637653917074203, -0.05390975996851921, unconstrained
-0.0554983951151371, -0.05391346290707588, unconstrained
-0.05555209890007973, -0.05397726222872734, unconstrained
-0.0556727796792984, -0.053902413696050644, unconstrained
-0.055702123790979385, -0.05381892994046211, unconstrained
-0.05554474890232086, -0.053858160972595215, unconstrained
-0.05561632290482521, -0.05380960553884506, unconstrained
-0.05572892725467682, -0.053793590515851974, unconstrained
-0.05555521324276924, -0.053827427327632904, unconstrained
-0.05571424216032028, -0.05395783111453056, unconstrained
-0.05563836544752121, -0.05386504530906677, unconstrained
-0.055636052042245865, -0.053900204598903656, unconstrained
-8.546673774719238, -8.585694313049316, unconstrained
-0.0556863471865654, -0.05381803959608078, unconstrained
-0.05571253225207329, -0.05395699292421341, unconstrained
-0.05567707493901253, -0.05380876734852791, unconstrained
-0.055728573352098465, -0.05373726785182953, unconstrained
-0.055702485144138336, -0.05401899293065071, unconstrained
-0.05572433024644852, -0.053912460803985596, unconstrained
-0.055657047778367996, -0.05384530872106552, unconstrained
-8.46552562713623, -8.508784294128418, unconstrained
-0.055708181113004684, -0.05388931557536125, unconstrained
-0.05558940768241882, -0.05391080677509308, unconstrained
-0.05552619695663452, -0.05389254167675972, unconstrained
-0.055690765380859375, -0.053931593894958496, unconstrained
-0.05562594532966614, -0.053839921951293945, unconstrained
-0.0557091161608696, -0.05385306477546692, unconstrained
-0.05554843693971634, -0.053915854543447495, unconstrained
-8.015997886657715, -8.000070571899414, unconstrained
-0.055628757923841476, -0.05396309867501259, unconstrained
-0.05567951127886772, -0.05390634760260582, unconstrained
-0.05560005456209183, -0.05387292057275772, unconstrained
-0.05559777840971947, -0.05382432043552399, unconstrained
-0.055579960346221924, -0.053847622126340866, unconstrained
-7.65362548828125, -7.687626838684082, unconstrained
-0.05573636665940285, -0.0539013147354126, unconstrained
-0.05566790699958801, -0.053878188133239746, unconstrained
-0.05562535673379898, -0.0538749061524868, unconstrained
-0.055541928857564926, -0.05383478105068207, unconstrained
-0.0557049959897995, -0.053928229957818985, unconstrained
-0.055764734745025635, -0.05380161106586456, unconstrained
-0.05566015467047691, -0.053930867463350296, unconstrained
-0.055588752031326294, -0.05399579182267189, unconstrained
-0.05560574308037758, -0.053847093135118484, unconstrained
-0.05560614913702011, -0.053904976695775986, unconstrained
-0.05573143810033798, -0.05379118397831917, unconstrained
-0.05566732957959175, -0.05380392074584961, unconstrained
-0.05561811104416847, -0.05384349822998047, unconstrained
