no_constraint, constraint, which
-12.14607048034668, -5.562352180480957, unconstrained
-7.004641532897949, -0.7449526786804199, unconstrained
-15.646228790283203, -8.457653999328613, unconstrained
-7.009236812591553, -0.750163733959198, unconstrained
-10.677774429321289, -5.154017925262451, unconstrained
-11.711671829223633, -4.660085678100586, unconstrained
-7.004716396331787, -0.7465298175811768, unconstrained
-7.002600193023682, -0.7481496334075928, unconstrained
-10.166494369506836, -4.653195858001709, unconstrained
-10.70931625366211, -4.878715515136719, unconstrained
-7.003594398498535, -0.7491824626922607, unconstrained
-20.14368438720703, -14.032315254211426, unconstrained
-7.004166603088379, -0.7477900981903076, unconstrained
-9.171967506408691, -3.9297866821289062, unconstrained
-7.002399921417236, -0.7504517436027527, unconstrained
-12.289005279541016, -5.620459079742432, unconstrained
-7.003972053527832, -0.7465736269950867, unconstrained
-7.002871513366699, -0.753375768661499, unconstrained
-14.854175567626953, -6.7522711753845215, unconstrained
-7.0020928382873535, -0.7544402480125427, unconstrained
-7.005455017089844, -0.7493458986282349, unconstrained
-16.16114616394043, -8.645949363708496, unconstrained
-7.00338077545166, -0.7479369640350342, unconstrained
-7.005569934844971, -0.751415491104126, unconstrained
-7.0050506591796875, -0.7513232231140137, unconstrained
-10.168450355529785, -4.647748947143555, unconstrained
-11.81179141998291, -6.902339458465576, unconstrained
-12.124491691589355, -6.060211658477783, unconstrained
-7.001711368560791, -0.7529277801513672, unconstrained
-15.687268257141113, -9.595733642578125, unconstrained
-7.0028581619262695, -0.7503026723861694, unconstrained
-27.3574161529541, -9.922698974609375, unconstrained
-7.000725746154785, -0.7470987439155579, unconstrained
-12.132758140563965, -5.556089401245117, unconstrained
-7.006700038909912, -0.7519681453704834, unconstrained
-13.720003128051758, -8.215985298156738, unconstrained
-16.390939712524414, -7.2700653076171875, unconstrained
-34.45402908325195, -20.532251358032227, unconstrained
-7.002902507781982, -0.7486573457717896, unconstrained
-15.482268333435059, -9.727449417114258, unconstrained
-11.709942817687988, -7.258561611175537, unconstrained
-20.504697799682617, -10.764068603515625, unconstrained
-13.658455848693848, -8.482014656066895, unconstrained
-15.464326858520508, -10.515253067016602, unconstrained
-7.0023908615112305, -0.751592218875885, unconstrained
-10.660859107971191, -5.1466755867004395, unconstrained
-20.202003479003906, -10.419703483581543, unconstrained
-7.007354259490967, -0.747981607913971, unconstrained
-10.712485313415527, -4.88133430480957, unconstrained
-10.718111038208008, -4.882270812988281, unconstrained
-11.908391952514648, -7.413789749145508, unconstrained
-7.008697509765625, -0.7460525035858154, unconstrained
-7.005969047546387, -0.7533402442932129, unconstrained
-7.004756927490234, -0.7479561567306519, unconstrained
-7.005552768707275, -0.7530197501182556, unconstrained
-7.002218246459961, -0.7521375417709351, unconstrained
-7.005823612213135, -0.7433685064315796, unconstrained
-19.96280860900879, -11.179036140441895, unconstrained
-7.004120826721191, -0.748989462852478, unconstrained
-6.995532035827637, -0.7484411597251892, unconstrained
-17.855873107910156, -10.774786949157715, unconstrained
-9.177207946777344, -3.932678461074829, unconstrained
-7.004268646240234, -0.7435212135314941, unconstrained
-7.003593921661377, -0.7508898973464966, unconstrained
-19.61260223388672, -13.693755149841309, unconstrained
-7.0048322677612305, -0.7437817454338074, unconstrained
-20.404632568359375, -10.63948917388916, unconstrained
-7.0069427490234375, -0.7450317144393921, unconstrained
-7.004759788513184, -0.7471820116043091, unconstrained
-7.004432201385498, -0.7483545541763306, unconstrained
-7.0040154457092285, -0.7494878768920898, unconstrained
-10.715922355651855, -4.882446765899658, unconstrained
-18.131074905395508, -8.237808227539062, unconstrained
-11.714908599853516, -4.6607818603515625, unconstrained
-16.50588607788086, -8.998770713806152, unconstrained
-7.000669002532959, -0.7524347305297852, unconstrained
-11.719457626342773, -4.663199424743652, unconstrained
-7.005199909210205, -0.7512924075126648, unconstrained
-9.167449951171875, -3.9327540397644043, unconstrained
-7.0022993087768555, -0.749301552772522, unconstrained
-7.005169868469238, -0.7511052489280701, unconstrained
-13.120059967041016, -7.956541061401367, unconstrained
-18.876022338867188, -12.296109199523926, unconstrained
-10.681876182556152, -5.1511335372924805, unconstrained
-13.476984024047852, -6.760875225067139, unconstrained
-22.35466957092285, -8.724627494812012, unconstrained
-10.718205451965332, -4.879900932312012, unconstrained
-11.383146286010742, -7.267465591430664, unconstrained
-6.998366355895996, -0.7523852586746216, unconstrained
-13.676201820373535, -7.866003036499023, unconstrained
-7.007739067077637, -0.7493686676025391, unconstrained
-17.10797882080078, -11.368063926696777, unconstrained
-10.715665817260742, -4.880039215087891, unconstrained
-23.216938018798828, -12.053504943847656, unconstrained
-13.930290222167969, -8.838953018188477, unconstrained
-21.14493179321289, -12.501480102539062, unconstrained
-9.152212142944336, -3.921312093734741, unconstrained
-15.703573226928711, -8.991645812988281, unconstrained
-7.005787372589111, -0.751356303691864, unconstrained
-7.006789207458496, -0.7515841722488403, unconstrained
-7.009149074554443, -0.7487753629684448, unconstrained
-7.004649639129639, -0.7461883425712585, unconstrained
-10.558515548706055, -4.020389556884766, unconstrained
-7.005146503448486, -0.7457107305526733, unconstrained
-10.827332496643066, -5.566002368927002, unconstrained
-17.980194091796875, -9.22927474975586, unconstrained
-19.9930362701416, -11.567525863647461, unconstrained
-7.000133991241455, -0.7455973625183105, unconstrained
-23.35071563720703, -15.164090156555176, unconstrained
-6.998684406280518, -0.7517900466918945, unconstrained
-11.767363548278809, -6.431121826171875, unconstrained
-7.002176284790039, -0.7497694492340088, unconstrained
-7.0037312507629395, -0.7447596192359924, unconstrained
-14.812112808227539, -6.903379440307617, unconstrained
-7.005546569824219, -0.7439659833908081, unconstrained
-14.795145988464355, -6.899428367614746, unconstrained
-41.52653884887695, -21.1568603515625, unconstrained
-7.004876136779785, -0.7489726543426514, unconstrained
-6.998824119567871, -0.7497354745864868, unconstrained
-7.00450325012207, -0.7497711777687073, unconstrained
-7.0083394050598145, -0.745060920715332, unconstrained
-13.395633697509766, -7.750755310058594, unconstrained
-11.926336288452148, -6.138113975524902, unconstrained
-7.006398677825928, -0.7494698166847229, unconstrained
-6.996734619140625, -0.7485482692718506, unconstrained
-7.001053810119629, -0.7479121685028076, unconstrained
-7.00385856628418, -0.7511680126190186, unconstrained
-7.003304958343506, -0.7502697706222534, unconstrained
-7.002196788787842, -0.7459824681282043, unconstrained
-7.00314998626709, -0.7501341104507446, unconstrained
-11.815521240234375, -6.889852523803711, unconstrained
-12.116805076599121, -5.554900169372559, unconstrained
-7.0028276443481445, -0.7487509250640869, unconstrained
-7.0044779777526855, -0.7480953931808472, unconstrained
-10.582342147827148, -5.4550065994262695, unconstrained
-18.92559051513672, -15.317832946777344, unconstrained
-12.29277515411377, -6.880810737609863, unconstrained
-7.007579326629639, -0.7474956512451172, unconstrained
-7.002991676330566, -0.7446001768112183, unconstrained
-16.70359230041504, -7.947946071624756, unconstrained
-7.005233287811279, -0.7475792765617371, unconstrained
-7.001553058624268, -0.752390444278717, unconstrained
-7.003393173217773, -0.7473584413528442, unconstrained
-7.003873825073242, -0.7505035400390625, unconstrained
-10.560592651367188, -4.02051305770874, unconstrained
-18.46918296813965, -8.64665412902832, unconstrained
-7.000573635101318, -0.7481046915054321, unconstrained
-23.027225494384766, -11.297518730163574, unconstrained
-7.006916046142578, -0.742005467414856, unconstrained
-15.989236831665039, -10.32906723022461, unconstrained
-10.171741485595703, -4.648689270019531, unconstrained
-10.544536590576172, -4.023474216461182, unconstrained
-12.253396034240723, -6.42412805557251, unconstrained
-19.273630142211914, -11.950970649719238, unconstrained
-7.0077290534973145, -0.7503905296325684, unconstrained
-7.002101898193359, -0.7480299472808838, unconstrained
-12.446521759033203, -6.485152721405029, unconstrained
-7.002140522003174, -0.7520571947097778, unconstrained
-7.004363536834717, -0.7540826797485352, unconstrained
-12.640406608581543, -6.402939319610596, unconstrained
-12.435026168823242, -7.834096908569336, unconstrained
-7.00497579574585, -0.7481187582015991, unconstrained
-13.642241477966309, -7.532106399536133, unconstrained
-18.979290008544922, -12.015532493591309, unconstrained
-7.002175807952881, -0.7481521368026733, unconstrained
-7.004073143005371, -0.7446322441101074, unconstrained
-11.542455673217773, -6.088059425354004, unconstrained
-9.175153732299805, -3.9331696033477783, unconstrained
-11.090315818786621, -6.793257236480713, unconstrained
-7.000866889953613, -0.7469913959503174, unconstrained
-7.004528522491455, -0.7444077730178833, unconstrained
-7.001040458679199, -0.7462813854217529, unconstrained
-7.000797271728516, -0.743579089641571, unconstrained
-11.62757682800293, -6.1947407722473145, unconstrained
-13.437228202819824, -7.755943298339844, unconstrained
-10.24921703338623, -4.937919616699219, unconstrained
-7.0058441162109375, -0.7475172281265259, unconstrained
-7.005376815795898, -0.7497910261154175, unconstrained
-7.001496315002441, -0.748823881149292, unconstrained
-7.005130767822266, -0.7478140592575073, unconstrained
-7.003556251525879, -0.748189389705658, unconstrained
-13.207822799682617, -6.767831802368164, unconstrained
-7.005067825317383, -0.7468377351760864, unconstrained
-7.004446506500244, -0.7471303939819336, unconstrained
-12.274222373962402, -6.882603645324707, unconstrained
-7.001918792724609, -0.746504545211792, unconstrained
-7.002236366271973, -0.7465214729309082, unconstrained
-14.491098403930664, -6.188755989074707, unconstrained
-7.002275466918945, -0.7466861009597778, unconstrained
-7.0022807121276855, -0.7474188208580017, unconstrained
-15.726479530334473, -10.256052017211914, unconstrained
-12.374910354614258, -6.981898784637451, unconstrained
-15.10939884185791, -9.166318893432617, unconstrained
-10.547175407409668, -4.022541046142578, unconstrained
-10.56025505065918, -4.025242805480957, unconstrained
-7.004073143005371, -0.7513301372528076, unconstrained
-7.005423545837402, -0.7502237558364868, unconstrained
-14.21479606628418, -8.82921314239502, unconstrained
-16.123214721679688, -8.092399597167969, unconstrained
-13.074434280395508, -7.110138416290283, unconstrained
-7.005095481872559, -0.7515180110931396, unconstrained
-14.336755752563477, -6.927786350250244, unconstrained
-11.632275581359863, -6.19998836517334, unconstrained
-12.14222526550293, -6.558677673339844, unconstrained
-12.296576499938965, -5.631442546844482, unconstrained
-7.004460334777832, -0.753108024597168, unconstrained
-9.178253173828125, -3.9341232776641846, unconstrained
-13.826671600341797, -6.489145755767822, unconstrained
-16.874351501464844, -9.408255577087402, unconstrained
-7.005463600158691, -0.7466847896575928, unconstrained
-7.006856441497803, -0.7494527101516724, unconstrained
-7.001814842224121, -0.7559007406234741, unconstrained
-12.119558334350586, -7.85066032409668, unconstrained
-7.003882884979248, -0.7516555786132812, unconstrained
-7.004612445831299, -0.7491129040718079, unconstrained
-14.847471237182617, -6.753189563751221, unconstrained
-12.452980041503906, -6.485132694244385, unconstrained
-13.89151382446289, -7.9614739418029785, unconstrained
-14.282153129577637, -7.876511573791504, unconstrained
-31.784835815429688, -17.970273971557617, unconstrained
-12.542865753173828, -5.859323024749756, unconstrained
-7.000697612762451, -0.7503281235694885, unconstrained
-7.003620147705078, -0.7464152574539185, unconstrained
-7.007114887237549, -0.745400071144104, unconstrained
-6.9954681396484375, -0.7472322583198547, unconstrained
-17.780542373657227, -11.982065200805664, unconstrained
-7.002294540405273, -0.7492350935935974, unconstrained
-6.994930267333984, -0.7474962472915649, unconstrained
-15.306770324707031, -8.958141326904297, unconstrained
-9.172676086425781, -3.9326257705688477, unconstrained
-13.11060905456543, -7.340603828430176, unconstrained
-12.28067684173584, -5.625360012054443, unconstrained
-7.003121852874756, -0.7484745383262634, unconstrained
-7.00083065032959, -0.7481958866119385, unconstrained
-15.305557250976562, -8.944639205932617, unconstrained
-10.17491340637207, -4.648554801940918, unconstrained
-11.875945091247559, -6.935114860534668, unconstrained
-13.379520416259766, -7.597719192504883, unconstrained
-18.397302627563477, -12.668628692626953, unconstrained
-11.700569152832031, -6.219511032104492, unconstrained
-7.0094804763793945, -0.7481403350830078, unconstrained
-7.0047430992126465, -0.7505404353141785, unconstrained
-12.542939186096191, -5.857996940612793, unconstrained
-7.004895210266113, -0.7465029954910278, unconstrained
-7.00142765045166, -0.7516859769821167, unconstrained
-7.006661891937256, -0.7551307678222656, unconstrained
-15.922419548034668, -10.410297393798828, unconstrained
-20.14990234375, -11.124335289001465, unconstrained
